winner,winner,winner_number,overall_p1,overall_p2,tournament,surface,player2,player2_num,player1,player1_num,original_location,city,country,location,level,year,round,score,withdrawal,retirement,score,winner_set1,loser_set1,winner_set2,loser_set2,winner_set3,loser_set3,winner_set4,loser_set4,winner_set5,loser_set5,set1,set2,set3,set4,set5,winner_sets,loser_sets,winner_games,loser_games
"Wawrinka,‘_Stan",Wawrinka,3,2,1,Buenos Aires,Clay,Nishikori,4,Wawrinka,3,Argentina,Buenos Aires,Argentina,Americas,Other,2012,Q,"6-4, 6-2‘_",0,0,"6-4, 6-2",6,4,6,2,0,0,0,0,0,0,2,4,0,0,0,2,0,12,6
"Djokovic,‘_Novak",Djokovic,1,17,19,Australian Open,Hard,Federer,2,Djokovic,1,Australia,Melbourne,Australia,Asia,Grand Slam,2011,S,"7-6(3), 7-5, 6-4‘_",0,0,"7-6(3), 7-5, 6-4",7,6,7,5,6,4,0,0,0,0,1,2,2,0,0,3,0,20,15
"Djokovic,‘_Novak",Djokovic,1,17,19,Australian Open,Hard,Federer,2,Djokovic,1,Australia,Melbourne,Australia,Asia,Grand Slam,2008,S,"7-5, 6-3, 7-6(5)‘_",0,0,"7-5, 6-3, 7-6(5)",7,5,6,3,7,6,0,0,0,0,2,3,1,0,0,3,0,20,14
"Federer,‘_Roger",Federer,2,17,19,Australian Open,Hard,Federer,2,Djokovic,1,Australia,Melbourne,Australia,Asia,Grand Slam,2007,R16,"6-2, 7-5, 6-3‘_",0,0,"6-2, 7-5, 6-3",6,2,7,5,6,3,0,0,0,0,4,2,3,0,0,3,0,19,10
"Djokovic,‘_Novak",Djokovic,1,15,3,Australian Open,Hard,Wawrinka,3,Djokovic,1,Australia,Melbourne,Australia,Asia,Grand Slam,2013,R16,"1-6, 7-5, 6-4, 6-7(5), 12-10‘_",0,0,"1-6, 7-5, 6-4, 6-7(5), 12-10",1,6,7,5,6,4,6,7,12,10,-5,2,2,-1,2,3,2,32,32
"Wawrinka,‘_Stan",Wawrinka,3,15,3,Australian Open,Hard,Wawrinka,3,Djokovic,1,Australia,Melbourne,Australia,Asia,Grand Slam,2014,Q,"2-6, 6-4, 6-2, 3-6, 9-7‘_",0,0,"2-6, 6-4, 6-2, 3-6, 9-7",2,6,6,4,6,2,3,6,9,7,-4,2,4,-3,2,3,2,26,25
"Djokovic,‘_Novak",Djokovic,1,15,8,Australian Open,Hard,Murray,5,Djokovic,1,Australia,Melbourne,Australia,Asia,Grand Slam,2013,F,"6-7(2), 7-6(3), 6-3, 6-2‘_",0,0,"6-7(2), 7-6(3), 6-3, 6-2",6,7,7,6,6,3,6,2,0,0,-1,1,3,4,0,3,1,25,18
"Djokovic,‘_Novak",Djokovic,1,15,8,Australian Open,Hard,Murray,5,Djokovic,1,Australia,Melbourne,Australia,Asia,Grand Slam,2012,S,"6-3, 3-6, 6-7(4), 6-1, 7-5‘_",0,0,"6-3, 3-6, 6-7(4), 6-1, 7-5",6,3,3,6,6,7,6,1,7,5,3,-3,-1,5,2,3,2,28,22
"Djokovic,‘_Novak",Djokovic,1,15,8,Australian Open,Hard,Murray,5,Djokovic,1,Australia,Melbourne,Australia,Asia,Grand Slam,2011,F,"6-4, 6-2, 6-3‘_",0,0,"6-4, 6-2, 6-3",6,4,6,2,6,3,0,0,0,0,2,4,3,0,0,3,0,18,9
"Djokovic,‘_Novak",Djokovic,1,16,2,Australian Open,Hard,Berdych,6,Djokovic,1,Australia,Melbourne,Australia,Asia,Grand Slam,2013,Q,"6-1, 4-6, 6-1, 6-4‘_",0,0,"6-1, 4-6, 6-1, 6-4",6,1,4,6,6,1,6,4,0,0,5,-2,5,2,0,3,1,22,12
"Djokovic,‘_Novak",Djokovic,1,16,2,Australian Open,Hard,Berdych,6,Djokovic,1,Australia,Melbourne,Australia,Asia,Grand Slam,2011,Q,"6-1, 7-6(5), 6-1‘_",0,0,"6-1, 7-6(5), 6-1",6,1,7,6,6,1,0,0,0,0,5,1,5,0,0,3,0,19,8
"Federer,‘_Roger",Federer,2,14,2,Australian Open,Hard,Wawrinka,3,Federer,2,Australia,Melbourne,Australia,Asia,Grand Slam,2011,Q,"6-1, 6-3, 6-3‘_",0,0,"6-1, 6-3, 6-3",6,1,6,3,6,3,0,0,0,0,5,3,3,0,0,3,0,18,7
"Federer,‘_Roger",Federer,2,11,11,Australian Open,Hard,Murray,5,Federer,2,Australia,Melbourne,Australia,Asia,Grand Slam,2014,Q,"6-3, 6-4, 6-7(6), 6-3‘_",0,0,"6-3, 6-4, 6-7(6), 6-3",6,3,6,4,6,7,6,3,0,0,3,2,-1,3,0,3,1,24,17
"Federer,‘_Roger",Federer,2,11,11,Australian Open,Hard,Murray,5,Federer,2,Australia,Melbourne,Australia,Asia,Grand Slam,2010,F,"6-3, 6-4, 7-6(11)‘_",0,0,"6-3, 6-4, 7-6(11)",6,3,6,4,7,6,0,0,0,0,3,2,1,0,0,3,0,19,13
"Murray,‘_Andy",Murray,5,11,11,Australian Open,Hard,Murray,5,Federer,2,Australia,Melbourne,Australia,Asia,Grand Slam,2013,S,"6-4, 6-7(5), 6-3, 6-7(2), 6-2‘_",0,0,"6-4, 6-7(5), 6-3, 6-7(2), 6-2",6,4,6,7,6,3,6,7,6,2,2,-1,3,-1,4,3,2,30,23
"Federer,‘_Roger",Federer,2,12,6,Australian Open,Hard,Berdych,6,Federer,2,Australia,Melbourne,Australia,Asia,Grand Slam,2009,R16,"4-6, 6-7(4), 6-4, 6-4, 6-2‘_",0,0,"4-6, 6-7(4), 6-4, 6-4, 6-2",4,6,6,7,6,4,6,4,6,2,-2,-1,2,2,4,3,2,28,23
"Federer,‘_Roger",Federer,2,12,6,Australian Open,Hard,Berdych,6,Federer,2,Australia,Melbourne,Australia,Asia,Grand Slam,2008,R16,"6-4, 7-6(7), 6-3‘_",0,0,"6-4, 7-6(7), 6-3",6,4,7,6,6,3,0,0,0,0,2,1,3,0,0,3,0,19,13
"Federer,‘_Roger",Federer,2,6,1,Australian Open,Hard,Raonic,7,Federer,2,Australia,Melbourne,Australia,Asia,Grand Slam,2013,R16,"6-4, 7-6(4), 6-2‘_",0,0,"6-4, 7-6(4), 6-2",6,4,7,6,6,2,0,0,0,0,2,1,4,0,0,3,0,19,12
"Berdych,‘_Tomas",Berdych,6,9,5,Australian Open,Hard,Berdych,6,Wawrinka,3,Australia,Melbourne,Australia,Asia,Grand Slam,2009,R32,"4-6, 6-1, 6-3, 6-4‘_",0,0,"4-6, 6-1, 6-3, 6-4",4,6,6,1,6,3,6,4,0,0,-2,5,3,2,0,3,1,22,14
"Wawrinka,‘_Stan",Wawrinka,3,9,5,Australian Open,Hard,Berdych,6,Wawrinka,3,Australia,Melbourne,Australia,Asia,Grand Slam,2014,S,"6-3, 6-7(1), 7-6(3), 7-6(4)‘_",0,0,"6-3, 6-7(1), 7-6(3), 7-6(4)",6,3,6,7,7,6,7,6,0,0,3,-1,1,1,0,3,1,26,22
"Cilic,‘_Marin",Cilic,8,7,2,Australian Open,Hard,Cilic,8,Wawrinka,3,Australia,Melbourne,Australia,Asia,Grand Slam,2010,R32,"4-6, 6-4, 6-3, 6-3‘_",0,0,"4-6, 6-4, 6-3, 6-3",4,6,6,4,6,3,6,3,0,0,-2,2,3,3,0,3,1,22,16
"Murray,‘_Andy",Murray,5,0,3,Australian Open,Hard,Murray,5,Nishikori,4,Australia,Melbourne,Australia,Asia,Grand Slam,2012,Q,"6-3, 6-3, 6-1‘_",0,0,"6-3, 6-3, 6-1",6,3,6,3,6,1,0,0,0,0,3,3,5,0,0,3,0,18,7
"Murray,‘_Andy",Murray,5,0,3,Brisbane,Hard,Murray,5,Nishikori,4,Australia,Brisbane,Australia,Asia,Other,2013,S,"6-4, 2-0 RET‘_",0,1,"6-4, 2-0",6,4,2,0,0,0,0,0,0,0,2,2,0,0,0,2,0,8,4
"Nishikori,‘_Kei",Nishikori,4,3,1,Brisbane,Hard,Berdych,6,Nishikori,4,Australia,Brisbane,Australia,Asia,Other,2009,R16,"7-6(7), 6-3‘_",0,0,"7-6(7), 6-3",7,6,6,3,0,0,0,0,0,0,1,3,0,0,0,2,0,13,9
