year,player,gender,place,open,log,close,id,,
2004,Hewitt,0,1,Runner Up,64,6,2004g0p1,0,1st Round
2004,Roddick,0,2,Quarterfinals,16,4,2004g0p2,1,2nd Round
2004,Agassi,0,3,Quarterfinals,16,4,2004g0p3,2,3rd Round
2004,Davenport,1,1,Semifinals,32,5,2004g1p1,3,4th Round
2004,Mauresmo,1,2,Quarterfinals,16,4,2004g1p2,4,Quarterfinals
2004,Likhovtseva,1,3,1st Round,1,0,2004g1p3,5,Semifinals
2005,Roddick,0,1,1st Round,1,0,2005g0p1,6,Runner Up
2005,Agassi,0,2,Runner Up,64,6,2005g0p2,7,Champion
2005,Nadal,0,3,3rd Round,4,2,2005g0p3,,
2005,Clijsters,1,1,Champion,128,7,2005g1p1,,
2005,Pierce,1,2,Runner Up,64,6,2005g1p2,,
2005,Mauresmo,1,3,Quarterfinals,16,4,2005g1p3,,
2006,Roddick,0,1,Runner Up,64,6,2006g0p1,,
2006,Gonzalez,0,2,3rd Round,4,2,2006g0p2,,
2006,Murray,0,3,4th Round,8,3,2006g0p3,,
2006,Ivanovic,1,1,3rd Round,4,2,2006g1p1,,
2006,Sharapova,1,2,Champion,128,7,2006g1p2,,
2006,Clijsters,1,3,1st Round,1,0,2006g1p3,,
2007,Federer,0,1,Champion,128,7,2007g0p1,,
2007,Blake,0,2,4th Round,8,3,2007g0p2,,
2007,Roddick,0,3,Quarterfinals,16,4,2007g0p3,,
2007,Sharapova,1,1,3rd Round,4,2,2007g1p1,,
2007,Jankovic,1,2,Quarterfinals,16,4,2007g1p2,,
2007,Schnyder,1,3,3rd Round,4,2,2007g1p3,,
2008,Nadal,0,1,Semifinals,32,5,2008g0p1,,
2008,Murray,0,2,Runner Up,64,6,2008g0p2,,
2008,Del Potro,0,3,Quarterfinals,16,4,2008g0p3,,
2008,Safina,1,1,Semifinals,32,5,2008g1p1,,
2008,Bartoli,1,2,4th Round,8,3,2008g1p2,,
2008,Cibulkova,1,3,3rd Round,4,2,2008g1p3,,
2009,Querrey,0,1,3rd Round,4,2,2009g0p1,,
2009,Murray,0,2,4th Round,8,3,2009g0p2,,
2009,Del Potro,0,3,Champion,128,7,2009g0p3,,
2009,Dementieva,1,1,2nd Round,2,1,2009g1p1,,
2009,Pennetta,1,2,Quarterfinals,16,4,2009g1p2,,
2009,Jankovic,1,3,2nd Round,2,1,2009g1p3,,
2010,Murray,0,1,3rd Round,4,2,2010g0p1,,
2010,Federer,0,2,Semifinals,32,5,2010g0p2,,
2010,Fish,0,3,4th Round,8,3,2010g0p3,,
2010,Wozniacki,1,1,Semifinals,32,5,2010g1p1,,
2010,Clijsters,1,2,Champion,128,7,2010g1p2,,
2010,Kuznetsova,1,3,4th Round,8,3,2010g1p3,,
2011,Fish,0,1,4th Round,8,3,2011g0p1,,
2011,Djokovic,0,2,Champion,128,7,2011g0p2,,
2011,Isner,0,3,Quarterfinals,16,4,2011g0p3,,
2011,Williams,1,1,Runner Up,64,6,2011g1p1,,
2011,Radwanska,1,2,2nd Round,2,1,2011g1p2,,
2011,Sharapova,1,3,3rd Round,4,2,2011g1p3,,
2012,Djokovic,0,1,Runner Up,64,6,2012g0p1,,
2012,Isner,0,2,3rd Round,4,2,2012g0p2,,
2012,Querrey,0,3,3rd Round,4,2,2012g0p3,,
2012,Kvitova,1,1,4th Round,8,3,2012g1p1,,
2012,Li,1,2,3rd Round,4,2,2012g1p2,,
2012,Cibulkova,1,3,3rd Round,4,2,2012g1p3,,
2013,Nadal,0,1,Champion,128,7,2013g0p1,,
2013,Isner,0,2,3rd Round,4,2,2013g0p2,,
2013,Del Potro,0,3,2nd Round,2,1,2013g0p3,,
2013,Williams,1,1,Champion,128,7,2013g1p1,,
2013,Azarenka,1,2,Runner Up,64,6,2013g1p2,,
2013,Radwanska,1,3,4th Round,8,3,2013g1p3,,
2014,Raonic,0,1,4th Round,8,3,2014g0p1,,
2014,Isner,0,2,3rd Round,4,2,2014g0p2,,
2014,Federer,0,3,Semifinals,32,5,2014g0p3,,
2014,Williams,1,1,Champion,128,7,2014g1p1,,
2014,Kerber,1,2,3rd Round,4,2,2014g1p2,,
2014,Radwanska,1,3,2nd Round,2,1,2014g1p3,,
