winner,winnerid,score,tournament,overall,surface,player2,player2id,player1,player1id,location,year,stage
Serena Williams,1,6-4 6-3,MIAMI,16 - 2,HARD,Maria Sharapova,2,Serena Williams,1,USA,2004,R16
Maria Sharapova,2,6-1 6-4,WIMBLEDON,16 - 2,GRASS,Maria Sharapova,2,Serena Williams,1,"WIMBLEDON, GREAT BRITAIN",2004,F
Maria Sharapova,2,4-6 6-2 6-4,TOUR CHAMPIONSHIPS,16 - 2,HARD,Maria Sharapova,2,Serena Williams,1,"LOS ANGELES, USA",2004,F
Serena Williams,1,2-6 7-5 8-6,AUSTRALIAN OPEN,16 - 2,HARD,Maria Sharapova,2,Serena Williams,1,"MELBOURNE, AUSTRALIA",2005,S
Serena Williams,1,6-1 6-2,AUSTRALIAN OPEN,16 - 2,HARD,Maria Sharapova,2,Serena Williams,1,"MELBOURNE, AUSTRALIA",2007,F
Serena Williams,1,6-1 6-1,MIAMI,16 - 2,HARD,Maria Sharapova,2,Serena Williams,1,"MIAMI, USA",2007,R16
Serena Williams,1,7-5 4-6 6-1,CHARLESTON,16 - 2,CLAY,Maria Sharapova,2,Serena Williams,1,"CHARLESTON, USA",2008,Q
Serena Williams,1,7-6 (9) 6-4,WIMBLEDON,16 - 2,GRASS,Maria Sharapova,3,Serena Williams,1,"WIMBLEDON, GREAT BRITAIN",2010,R16
Serena Williams,1,6-1 6-3,STANFORD,16 - 2,HARD,Maria Sharapova,3,Serena Williams,1,"STANFORD, USA",2011,Q
Serena Williams,1,6-1 6-3,MADRID,16 - 2,CLAY,Maria Sharapova,6,Serena Williams,1,"Madrid, SPAIN",2012,Q
Serena Williams,1,6-0 6-1,OLYMPICS,16 - 2,GRASS,Maria Sharapova,7,Serena Williams,1,"LONDON, GREAT BRITAIN",2012,F
Serena Williams,2,6-4 6-3,WTA CHAMPIONSHIPS,16 - 2,HARD,Maria Sharapova,3,Serena Williams,1,"ISTANBUL, TURKEY",2012,F
Serena Williams,2,6-3 6-2,DOHA,16 - 2,HARD,Maria Sharapova,3,Serena Williams,1,"Doha, QATAR",2013,S
Serena Williams,2,4-6 6-3 6-0,MIAMI,16 - 2,HARD,Maria Sharapova,3,Serena Williams,1,"Miami, USA",2013,F
Serena Williams,2,6-1 6-4,MADRID,16 - 2,CLAY,Maria Sharapova,7,Serena Williams,1,"Madrid, SPAIN",2013,F
Serena Williams,2,6-4 6-4,FRENCH OPEN,16 - 2,CLAY,Maria Sharapova,7,Serena Williams,1,"Paris, FRANCE",2013,F
Serena Williams,2,6-2 7-6 (7),BRISBANE,16 - 2,HARD,Maria Sharapova,7,Serena Williams,1,"Brisbane, AUSTRALIA",2014,S
Serena Williams,3,6-4 6-3,MIAMI,16 - 2,HARD,Maria Sharapova,6,Serena Williams,1,"Miami, USA",2014,S
Serena Williams,1,6-2 6-1,AUSTRALIAN OPEN,5 - 0,HARD,Petra Kvitova,2,Serena Williams,1,"MELBOURNE, AUSTRALIA",2010,R64
Serena Williams,1,7-6 (5) 6-2,WIMBLEDON,5 - 0,GRASS,Petra Kvitova,2,Serena Williams,1,"WIMBLEDON, GREAT BRITAIN",2010,S
Serena Williams,1,6-3 7-5,WIMBLEDON,5 - 0,GRASS,Petra Kvitova,2,Serena Williams,1,"Wimbledon, GREAT BRITAIN",2012,Q
Serena Williams,1,3-6 6-3 7-5,DOHA,5 - 0,HARD,Petra Kvitova,2,Serena Williams,1,"Doha, QATAR",2013,Q
