id,fullname,name,williams,sharapova,kvitova,halep,bouchard,radwanska,ivanovic,wozniacki,edgeid,source,target,home,away
0,Serena Williams,williams,7,16,5,3,1,8,7,9,0,0,1,16,2
1,Maria Sharapova,sharapova,2,5.714285714,6,5,3,10,9,5,1,0,2,5,1
2,Petra Kvitova,kvitova,1,2,2.571428571,0,3,5,3,4,2,0,3,3,0
3,Simona Halep,halep,0,0,2,1.142857143,1,2,2,1,3,0,4,1,0
4,Eugenie Bouchard,bouchard,0,0,0,1,0.571428571,0,2,1,4,0,5,8,0
5,Agnieszka Radwanska,radwanska,0,2,1,4,1,2.857142857,8,4,5,0,6,7,1
6,Ana Ivanovic,ivanovic,1,4,4,2,0,3,2.714285714,5,6,0,7,9,1
7,Caroline Wozniacki,wozniacki,1,3,4,1,0,6,2,2.428571429,7,1,2,6,2
,,,,,,,,,,,8,1,3,5,0
,,,,,,,,,,,9,1,4,3,0
,,,,,,,,,,,10,1,5,10,2
,,,,,,,,,,,11,1,6,9,4
,,,,,,,,,,,12,1,7,5,3
,,,,,,,,,,,13,2,3,0,2
,,,,,,,,,,,14,2,4,3,0
,,,,,,,,,,,15,2,5,5,1
,,,,,,,,,,,16,2,6,3,4
,,,,,,,,,,,17,2,7,4,4
,,,,,,,,,,,18,3,4,1,1
,,,,,,,,,,,19,3,5,2,4
,,,,,,,,,,,20,3,6,2,2
,,,,,,,,,,,21,3,7,1,1
,,,,,,,,,,,22,4,5,0,1
,,,,,,,,,,,23,4,6,2,0
,,,,,,,,,,,24,4,7,1,0
,,,,,,,,,,,25,5,6,8,3
,,,,,,,,,,,26,5,7,4,6
,,,,,,,,,,,27,6,7,5,2
